PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,FoodType,TransportType
ED145,UD415,Snacks and video call with family,2022-02-23,21,Wednesday,18:30,19:15,45,2,Junk,
 X893,,Home workout,2022-02-23,21,Wednesday,19:15,20:00,45,1,,
L418,,Post workout rest,2022-02-23,21,Wednesday,20:00,20:15,15,1,,
ED145,,Cooking and eating dinner,2022-02-23,21,Wednesday,20:15,21:30,75,0,Healthy,
L418,,Relaxing with housemates,2022-02-23,21,Wednesday,21:30,22:15,45,1,,
CW982,,Working on coursework,2022-02-23,21,Wednesday,22:15,23:15,60,-1,,
 X893,,Short walk,2022-02-23,21,Wednesday,23:15,23:45,30,0,,"Personal (walk, cycle etc.)"
UD415,,Browsing Instagram and Whatsapp,2022-02-23,21,Wednesday,23:45,00:00,-1425,1,,
UD415,,Watching TV show,2022-02-24,21,Thursday,00:00,00:45,45,2,,
S801,,Regular night sleep,2022-02-24,21,Thursday,00:45,07:45,420,1,,
O733,,Brush and shower,2022-02-24,21,Thursday,07:45,08:30,45,0,,
ED145,,Cook and have breakfast,2022-02-24,21,Thursday,08:30,09:15,45,1,Healthy,
R523,,Reading the Bible and spending quiet time,2022-02-24,21,Thursday,09:15,09:45,30,2,,
T695,O733,Travel to university and listening to music,2022-02-24,21,Thursday,09:45,10:15,30,1,,Public transport
EL642,,Course lecture,2022-02-24,21,Thursday,10:15,11:15,60,-1,,
L418,ED145,Coffee break,2022-02-24,21,Thursday,11:15,11:45,30,1,Junk,
T695,,Walk to library,2022-02-24,21,Thursday,11:45,12:00,15,0,,"Personal (walk, cycle etc.)"
CW982,,Working on group coursework,2022-02-24,21,Thursday,12:00,14:00,120,-1,,
ED145,,Lunch on campus,2022-02-24,21,Thursday,14:00,15:00,60,0,Healthy,
CW982,,Working on group coursework,2022-02-24,21,Thursday,15:00,16:00,60,-1,,
 X893,,Badminton at University,2022-02-24,21,Thursday,16:00,17:30,90,1,,
T695,,University to home,2022-02-24,21,Thursday,17:30,18:15,45,0,,Public transport
S801,,Short nap,2022-02-24,21,Thursday,18:15,18:45,30,1,,
O733,,Freshen up,2022-02-24,21,Thursday,18:45,19:15,30,0,,
T695,,Travel to society meeting location,2022-02-24,21,Thursday,19:15,19:30,15,0,,"Personal (walk, cycle etc.)"
O733,,Society gathering,2022-02-24,21,Thursday,19:30,21:00,90,1,,
ED145,L418,Snacks at gathering and talking with friends,2022-02-24,21,Thursday,21:00,21:15,15,1,Junk,
T695,,From society gathering to home,2022-02-24,21,Thursday,21:15,21:30,15,0,,Car with car-pooling
ED145,,Dinner with housemates,2022-02-24,21,Thursday,21:30,22:30,60,1,Healthy,
UD415,,Video call with friends,2022-02-24,21,Thursday,22:30,23:00,30,2,,
L418,UD415,Relaxing and watching a tv show,2022-02-24,21,Thursday,23:00,00:00,-1380,1,,
